field_id,latitude,longitude,year,season_number,season_length_days,ndvi_peak,ndvi_mean,ndvi_auc,ndvi_slope_mid,precip_cum,rh_mean,gdd_cum,solar_cum,water_stress_index,yield_kg_ha,sustainability_score
field_16.8000_96.2000,16.8,96.2,2023,1,46,0.5777,0.4646042553191489,341.4744,0.0024866666666666,10.07,81.93659574468084,786.3399999999999,818.05,0.1609487751923948,5030.135294767035,0.4332930559750171
field_16.8000_96.2000,16.8,96.2,2024,1,30,0.5244,0.5064387096774194,243.36000000000004,0.0,2.42,78.62806451612903,503.79,520.41,0.1870136277141866,4800.2039856485335,0.4221500336827612
field_16.8000_96.2000,16.8,96.2,2025,1,30,0.4777,0.4598451612903227,220.93200000000004,0.00205,0.01,62.464516129032255,461.0799999999999,590.13,0.3112135580992022,4863.995153971133,0.37250916077635776
field_17.0000_96.1000,17.0,96.1,2014,1,210,0.7946,0.492978021978022,1430.832,0.0180466666666666,843.93,81.89714285714285,3029.44,2978.02,0.1607852006279435,8525.231826008021,0.7364388588151454
field_17.0000_96.1000,17.0,96.1,2015,1,60,0.7768,0.720534426229508,691.692,-0.002113333,61.84,77.27016393442625,1027.73,1144.18,0.2034171279763502,6064.0172310830885,0.6043309059362192
field_17.0000_96.1000,17.0,96.1,2016,1,60,0.778,0.7042065573770493,676.4264000000001,0.00624,233.32,85.30475409836065,997.3200000000002,1058.89,0.1290708341126938,5731.406651819393,0.5926090440372298
field_17.0000_96.1000,17.0,96.1,2017,1,30,0.6469,0.6342870967741934,304.39199999999994,0.0,10.6,82.58935483870968,469.22,528.41,0.1458787411030176,4572.518547030764,0.46405934153216716
field_17.0000_96.1000,17.0,96.1,2018,1,60,0.8232,0.7418327868852458,712.3768,-0.001636667,262.21000000000004,85.0122950819672,1025.11,1137.2700000000002,0.1339155529427575,5274.22485364493,0.5672261623269452
field_17.0000_96.1000,17.0,96.1,2019,1,60,0.8247,0.7756426229508198,744.8864000000001,0.0030966666666666,151.42999999999998,83.64262295081966,1064.2399999999998,1208.04,0.1496512292394519,5703.016178556985,0.6112222411923551
field_17.0000_96.1000,17.0,96.1,2020,1,46,0.7674,0.7003914893617021,516.3984,0.0025933333333333,26.0,74.58106382978723,755.4,884.4599999999999,0.2209103856948846,5354.359882302055,0.5320727288776603
field_17.0000_96.1000,17.0,96.1,2021,1,60,0.8428,0.7789475409836067,747.5752000000001,-0.00349,260.57,86.05393442622952,1015.9499999999998,1078.2199999999998,0.1239104115829077,5560.197391490506,0.6082566129180127
field_17.0000_96.1000,17.0,96.1,2022,1,46,0.8043,0.7625808510638299,561.1256000000001,-0.002973333,73.29,80.42510638297874,758.1499999999999,823.7600000000001,0.1705028765655649,5566.03042378676,0.5885437009372098
field_17.0000_96.1000,17.0,96.1,2023,1,60,0.8674,0.7480655737704915,717.1287999999997,-0.010036667,256.85,85.2365573770492,1029.84,1026.79,0.1322933538296155,5872.835247742407,0.6201467632870513
field_17.0000_96.1000,17.0,96.1,2024,1,60,0.8617,0.7970606557377049,765.5504,0.0025133333333333,218.24,84.69524590163935,1046.0599999999995,1068.5500000000002,0.1385004976619188,5993.413823417373,0.646998184436696
field_17.0000_96.1000,17.0,96.1,2025,1,30,0.6362,0.6185193548387096,297.0935999999999,0.0020299999999999,0.01,62.464516129032255,461.0799999999999,591.4899999999999,0.3112135580992022,4808.2630403181565,0.42817983640805113
field_19.7000_96.1000,19.7,96.1,2014,1,60,0.4031,0.3851098360655736,369.7095999999999,-0.000613333,125.71,75.85885245901638,1038.56,1122.75,0.2174761212577265,5465.048814231516,0.4224826381960165
field_19.7000_96.1000,19.7,96.1,2015,1,60,0.8132,0.6292786885245901,603.52,-0.00988,136.61999999999998,74.18836065573771,1052.53,1042.96,0.2344952172623847,5711.263453846447,0.5308076881250521
field_19.7000_96.1000,19.7,96.1,2016,1,46,0.6408,0.607553191489362,447.9168000000002,0.0006066666666666,34.620000000000005,67.35106382978724,724.36,811.3499999999999,0.2765573291081937,5111.334319140518,0.4597541188877883
field_19.7000_96.1000,19.7,96.1,2017,1,60,0.7464,0.6888491803278689,661.6304,0.0018866666666666,440.27,84.20098360655739,1003.4899999999998,1034.25,0.1392981145391023,5279.942821357015,0.5459439607164832
field_19.7000_96.1000,19.7,96.1,2018,1,60,0.7387,0.7028704918032787,674.4127999999998,-0.003233333,191.46,78.93786885245902,963.8,1068.8300000000002,0.1811343278688525,5453.115746849506,0.5532074549191093
field_19.7000_96.1000,19.7,96.1,2019,1,60,0.7578,0.691873770491803,664.5831999999998,0.0021233333333333,103.6,74.76885245901637,1051.6,1165.37,0.2290933046672043,5634.839014574417,0.5498367568483175
field_19.7000_96.1000,19.7,96.1,2020,1,60,0.7663,0.7187622950819674,689.9888000000001,0.0014499999999999,159.25000000000003,80.42426229508197,1030.78,1056.93,0.1755162782047836,5130.336090868116,0.5339400162442882
field_19.7000_96.1000,19.7,96.1,2021,1,60,0.7252,0.6632278688524592,637.0640000000001,0.0016366666666666,211.78,75.84688524590163,1001.16,1031.9,0.2126477178536236,5510.8730152934695,0.5335108158977669
field_19.7000_96.1000,19.7,96.1,2022,1,60,0.8173,0.7973688524590166,765.4024000000002,-0.001116667,289.53,83.23819672131148,979.54,1060.94,0.1455932064677952,5016.76495596618,0.563306662192271
field_19.7000_96.1000,19.7,96.1,2023,1,60,0.7982,0.7712426229508199,740.4048000000003,-0.000886667,108.64,73.96491803278687,977.63,1006.58,0.2258692742273584,5602.550146302082,0.5782814813782905
field_19.7000_96.1000,19.7,96.1,2024,1,60,0.7989,0.7834606557377052,752.0336000000001,-0.000353333,266.22,81.08459016393442,1006.64,1018.15,0.1671005910239183,5497.306032558156,0.5917557087301174
field_19.7000_96.1000,19.7,96.1,2025,1,30,0.6566,0.6426903225806453,308.42560000000003,-0.000653333,0.04,59.11354838709677,387.69,577.87,0.3067319185570586,5102.819313995502,0.4633495865864553
field_21.0000_96.1000,21.0,96.1,2014,1,60,0.4232,0.395677049180328,379.7448000000001,-9.33e-05,62.84000000000001,63.51196721311475,1088.91,1081.96,0.3387425343276897,5215.067238271773,0.36921370558834676
field_21.0000_96.1000,21.0,96.1,2015,1,60,0.4826,0.4560786885245903,437.7040000000001,-0.000396667,84.98,65.69639344262296,1073.47,1051.4299999999998,0.3155688116456149,5253.73193048231,0.40236566321181944
field_21.0000_96.1000,21.0,96.1,2016,1,60,0.6122,0.5903475409836062,566.8215999999998,-0.00027,123.93,74.00540983606558,1045.2599999999998,1009.14,0.2351246192063064,5099.503664959061,0.4646524843672107
field_21.0000_96.1000,21.0,96.1,2017,1,60,0.6295,0.5817622950819675,558.5664000000002,-0.001263333,177.51999999999998,70.9267213114754,946.1699999999998,984.67,0.2472293120039416,5234.160607763595,0.4690186353659155
field_21.0000_96.1000,21.0,96.1,2018,1,60,0.5484,0.486816393442623,467.10480000000007,-0.00355,77.57,65.0539344262295,905.46,989.57,0.2893954346143511,5554.192067772075,0.4470335297145334
field_21.0000_96.1000,21.0,96.1,2019,1,60,0.5434,0.4835622950819671,463.8151999999999,-0.00199,191.74,75.2511475409836,1035.38,998.48,0.2225205839290514,5727.156635794318,0.4803243887296399
field_21.0000_96.1000,21.0,96.1,2020,1,60,0.4443,0.4317901639344261,414.5687999999999,0.0009533333333333,122.56,72.50459016393442,1054.11,1052.19,0.2500294342201917,5461.537614189152,0.4301719788755749
